game_id,player_id,player_name,team,opponent,true_prob,shot_made,loc_x,loc_y,shot_distance,angle_from_hoop,shot_clock,dribbles,touch_time,defender_distance,is_three,catch_and_shoot,off_dribble,heavily_guarded,wide_open,high_volume_touch,late_clock_pressure,clutch,fatigue_proxy,home,score_margin,period,shot_zone_Above The Break 3,shot_zone_Deep 3 / Heave,shot_zone_In The Paint (Non-RA),shot_zone_Left Corner 3,shot_zone_Long Mid-Range,shot_zone_Mid-Range,shot_zone_Restricted Area,shot_zone_Right Corner 3,position_C,position_PF,position_PG,position_SF,position_SG,quadrant_Center,quadrant_Left,quadrant_Right,clock_bucket_Desperation(<4s),clock_bucket_Early(14-24s),clock_bucket_Late(4-7s),clock_bucket_Mid(7-14s),dist_0-4ft,dist_16-22ft,dist_3pt,dist_4-8ft,dist_8-16ft,dist_Deep3,dist_Long2
22600090,57,Amen Thompson,BOS,MIL,0.3452,0,-9.1,25.2,26.8,-19.855214369321057,19.1,0,2.7,3.7,1,0,1,0,0,0,0,0,0.08333333333333333,1,-20,5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
22600358,1,James Harden,TOR,CHA,0.3856,0,-7.9,12.3,14.6,-32.711676836724656,16.6,2,2.3,5.2,0,0,1,0,0,0,0,0,0.375,0,1,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
22600047,52,Dejounte Murray,PHX,DET,0.5844,1,0.4,0.4,0.6,45.0,17.1,0,0.1,6.0,0,1,0,0,0,0,0,0,0.25,1,-19,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
22600208,51,Aaron Christie,DET,NYK,0.6986,0,3.0,1.2,3.2,68.19859051364818,22.0,0,2.1,7.2,0,1,0,0,1,0,0,0,0.16666666666666666,1,-8,4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
22600188,4,Nikola Jokic,WAS,HOU,0.5736,1,2.8,0.6,2.8,77.9052429229879,7.8,0,10.7,0.2,0,0,1,1,0,0,0,0,0.625,0,9,3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
22600127,59,Scoot Henderson,DEN,CHI,0.4352,0,5.3,13.2,14.3,21.87620811163073,21.9,2,2.5,6.7,0,0,1,0,1,0,0,0,0.4375,0,-1,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
22600009,8,Devin Booker,IND,CHI,0.6363,1,-0.6,1.0,1.1,-30.96375653207352,13.8,2,3.6,1.7,0,0,1,1,0,0,0,0,0.4583333333333333,1,-4,2,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
22600309,14,Damian Lillard,CHA,PHI,0.3473,0,10.4,16.4,19.4,32.38067770656923,17.7,3,5.0,4.7,0,0,1,0,0,0,0,0,0.3125,1,0,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
22600135,45,OG Anunoby,PHX,TOR,0.4998,0,20.9,15.2,25.8,53.97262661489639,18.0,1,1.1,5.2,1,1,0,0,0,0,0,0,0.375,0,-3,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
22600265,1,James Harden,TOR,IND,0.2476,1,-10.2,27.3,29.1,-20.487014193330705,5.0,4,7.2,0.8,1,0,1,1,0,1,1,0,0.20833333333333334,1,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
22600165,46,Pascal Siakam,PHX,LAL,0.6585,1,0.5,0.4,0.7,51.34019174590991,8.7,1,2.0,3.2,0,1,0,0,0,0,0,0,0.5,1,14,5,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
22600150,29,Scottie Barnes,PHX,SAC,0.5788,0,0.7,0.3,0.7,66.80140948635182,17.8,2,1.7,0.5,0,0,1,1,0,0,0,0,0.10416666666666667,1,2,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
22600355,48,Derrick White,NYK,IND,0.6168,0,0.2,1.5,1.5,7.594643368591445,17.3,5,4.3,2.2,0,0,1,1,0,1,0,0,0.125,1,0,2,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
22600038,11,Ja Morant,PHX,NOP,0.4487,0,-4.6,1.2,4.8,-75.37912601136834,15.1,1,2.6,2.2,0,0,1,1,0,0,0,0,0.3333333333333333,1,-14,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
22600295,60,Brandin Duren,CHA,NYK,0.318,0,27.2,7.7,28.3,74.19380639932153,18.3,3,3.0,1.5,1,0,1,1,0,0,0,0,0.25,1,2,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
22600299,21,Bam Adebayo,UTA,SAS,0.6542,1,0.1,0.1,0.2,45.0,15.4,3,7.7,2.8,0,0,1,1,0,0,0,0,0.08333333333333333,0,7,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
22600152,58,Ausar Barlow,CHI,DET,0.6327,1,1.5,2.2,2.7,34.28687697720896,6.3,1,1.0,7.4,0,1,0,0,1,0,1,1,1.0,1,-4,4,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
22600105,41,Draymond Green,POR,DEN,0.5415,1,1.4,0.7,1.6,63.43494882292201,0.0,2,3.6,3.5,0,0,1,0,0,0,1,0,0.5625,0,-1,3,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
22600003,41,Draymond Green,POR,CHA,0.3786,1,-22.0,8.3,23.5,-69.32987672406647,17.7,3,3.4,8.3,1,0,1,0,1,0,0,0,0.25,0,16,2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
22600375,34,Anfernee Simons,IND,WAS,0.3612,0,-5.5,11.8,13.1,-24.990306111324813,13.9,1,3.5,0.4,0,0,1,1,0,0,0,0,0.5,1,-16,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
22600380,45,OG Anunoby,PHX,LAC,0.3843,0,-10.6,16.9,19.9,-32.09671540412567,16.1,2,1.7,3.8,0,0,1,0,0,0,0,0,0.1875,1,6,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
